"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"151","UGT2B7",17.25,13.52,24.28,13.72,4811.185,15934.98,5.5,3.705,10.39,10.63,1.08,21.945,1.33,1.08,5.5,13.52,21.945,15934.98
"152","ORM2",0.74,6.52,80.57,2.32,0.595,209994.66,83.45,255.025,1.35,136.67,2.52,16.36,9.56,0.595,2.32,9.56,83.45,209994.66
"153","TTPA",1.89,22.43,0.61,25.91,11.09,1447.15,10.31,1.31,1.46,5.985,0,0.66,3.38,0,1.31,3.38,11.09,1447.15
"154","TMEM82",0,0,0,35.5,162.19,1583.71,0,0,0,23.845,0,0,0,0,0,0,23.845,1583.71
"155","SERPIND1",18.03,2.43,20.11,1.6,2.1,17558.94,40.93,1.125,2.16,7.28,10.51,30.67,6.21,1.125,2.16,7.28,20.11,17558.94
"156","FGL1",0.47,6.52,8.51,2.25,4.72,96616.71,5.54,4.52,1.46,3.895,1.88,19.055,4.98,0.47,2.25,4.72,6.52,96616.71
"157","BANF2",0,0,0,0,0,0,0,0,0,0,19.11,0,0,0,0,0,0,19.11
"158","PSAPL1",1.75,0.18,0,0.39,0.025,0.06,4.54,0.205,3.17,103.01,0.075,0,3.96,0,0.06,0.205,3.17,103.01
"159","HIST1H4B",0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"160","AC016745.1",0,0,0,0,0,0,0,0,0,0,0.385,0,0,0,0,0,0,0.385
"161","SFTA2",0,5.28,56.28,0,112.995,11.04,18560.17,5.085,36.27,257.675,31.335,25.725,1417.35,0,5.28,31.335,112.995,18560.17
"162","SERPINB13",14.78,1.97,2.12,0.26,0.045,0.27,0.49,2.41,480.04,2.72,0.07,0,3515.68,0,0.26,1.97,2.72,3515.68
"163","CDH16",0,0,21.63,2.86,17499.13,2.48,3.44,1.11,10.39,3.275,1437.15,4.88,104.42,0,2.48,3.44,21.63,17499.13
"164","KIR2DL1",0,0,0,0,0,0.91,6.06,0,0,0,0,0,0,0,0,0,0,6.06
"165","REG1A",0.42,1.28,14.45,96.68,77.7,8.92,3.53,3.72,1.33,8658.09,3.84,11.23,289.02,0.42,3.53,8.92,77.7,8658.09
"166","SPDYC",0,0,0,0,2.645,54.33,0.88,0,0,0,0,0,0,0,0,0,0,54.33
"167","TEX37",0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
"168","PRG4",5.73,103.69,2.76,5.87,1.635,2367.9,275.28,2.13,22.26,6.7,7.34,4.7,37.06,1.635,4.7,6.7,37.06,2367.9
"169","CTD-2006C1.10",0,0,0,0,5.085,0,0,0,0,0,0,0,0,0,0,0,0,5.085
"170","BX842679.1",0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,2.34
"171","CYP4A22",0.92,2.36,0.8,0.33,229.92,6652.97,2.53,0.605,0.35,1.175,0.66,0.35,2.315,0.33,0.605,0.92,2.36,6652.97
"172","FGB",1.57,10.71,17.13,2.14,70.755,363097.14,7.28,1.59,0.69,11.91,1.29,3.755,18.84,0.69,1.59,7.28,17.13,363097.14
"173","FMO3",11.82,92.05,12.55,11.82,108.18,13586.57,463.65,12.32,56.28,54.91,32.475,29.27,111.99,11.82,12.55,54.91,108.18,13586.57
"174","AC007461.1",0,58.3,0,0,0,1.77,0,0,3.76,0,8.13,0,0,0,0,0,1.77,58.3
"175","AGXT",0.75,4.82,1.64,11.38,95.695,59474.18,0.64,1.265,1.69,2.47,0.17,0.36,2.58,0.17,0.75,1.69,4.82,59474.18
"176","RP4-576H24.4",0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,10.16
"177","PNMA6B",0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87
"178","STARD6",0,1.58,0,0,2.475,0,0,0,0,0,0,0,0,0,0,0,0,2.475
"179","HPD",77.25,29.48,15.91,12.27,2109.635,46662.28,26.86,47.5,4.03,17,8.095,21.32,46.835,4.03,15.91,26.86,47.5,46662.28
"180","APOC1",748.61,2193.99,2573.36,624.99,240.37,610654.84,21768.19,455.67,358.54,392.44,1077.65,571.065,171.45,171.45,392.44,624.99,2193.99,610654.84
"181","HPR",5.15,4.7,16.27,6.57,3.64,12853.63,19.82,5.085,1.77,8.16,2.84,3.47,28.04,1.77,3.64,5.15,16.27,12853.63
"182","AQP4",2.39,16.88,15.68,2.97,31.56,12.09,4038.61,9.06,16.27,40.785,224.97,1.705,12.41,1.705,9.06,15.68,31.56,4038.61
"183","PDZK1",6.01,170.25,5.19,25.91,6237.345,2351.53,5.87,7.28,3.63,27.345,8.51,20.86,15.505,3.63,6.01,15.505,27.345,6237.345
"184","TMCO2",1.38,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.38
"185","AADAC",15.45,33.78,4.21,2.2,0.215,7081.29,162.14,0.51,48.18,458.845,3.575,2.755,42.11,0.215,2.755,15.45,48.18,7081.29
"186","CPN2",0,1.19,0.73,0.64,96.795,4419.52,0.38,0,0.18,0.845,0.53,0.31,0.91,0,0.31,0.64,0.91,4419.52
"187","BEST2",0,0.37,1.06,108.9,0.075,0,0.04,0.27,1.46,0.195,0.38,0.22,2.46,0,0.075,0.27,1.06,108.9
"188","MTTP",9.63,2.01,1.31,8.38,79.56,2777.33,4.06,4.68,1.13,32.13,2.35,1.23,9.165,1.13,2.01,4.68,9.63,2777.33
"189","HIST1H2AJ",0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,7.75
"190","GPA33",1.2,2.2,2.27,791.35,0.735,1.08,108.9,1.515,2.12,34.63,1.39,0.54,2.16,0.54,1.2,2.12,2.27,791.35
"191","RP11-599B13.6",34.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.26
"192","FGG",2.2,8.19,10.31,2.14,8.155,301123.38,1199.98,1.45,1.85,16.51,1.5,2.375,17.77,1.45,2.14,8.155,16.51,301123.38
"193","PRB2",1.87,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,4.43
"194","C6",7,62.56,10.79,16.27,28.24,7230.1,60.82,9.815,10.24,32.475,41.075,19.04,85.225,7,10.79,28.24,60.82,7230.1
"195","DEFA1B",0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,10.55
"196","SBK2",0,0,0,0,0.87,0,0,0,0,0,0,1.685,0,0,0,0,0,1.685
"197","CA6",0,12.93,0,0,0,0,0,0,14.24,0,0,0,0,0,0,0,0,14.24
"198","GLYAT",0,353.59,0,0,2311.31,13123.73,0,0,1.5,1.29,0,0,0,0,0,0,1.5,13123.73
"199","SLC25A47",0.32,0.3,0.8,1.31,9.095,13123.73,0.64,0.675,0.36,1.24,2.97,0.965,0.89,0.3,0.64,0.89,1.31,13123.73
"200","CA1",2.41,2.16,1.39,2645.74,2.055,9.06,19.82,2.785,2.01,23.94,4.045,1.4,6.015,1.39,2.055,2.785,9.06,2645.74
"201","TPO",21.78,109.66,0.62,58.3,0.67,1.2,2.76,4.66,14.24,34.755,75281.905,5.82,199.85,0.62,2.76,14.24,58.3,75281.905
"202","NPHS1",0,0.23,0,0.97,274.46,0,0,0.13,0.34,5.215,0,0,0,0,0,0,0.34,274.46
"203","NR1I2",0.99,2.51,0.88,105.89,2.055,1757.34,2.32,2.66,0.57,16.15,3.82,2.05,2.53,0.57,2.05,2.51,3.82,1757.34
"204","RETNLB",0,0,0,241.19,0,0,0,0,0,0,0,0,0,0,0,0,0,241.19
"205","AL138847.1",0.43,0.56,0.09,0.42,33.18,327.56,0.27,0.29,0.26,2.26,0.42,0.515,1.77,0.09,0.29,0.43,1.77,327.56
"206","DMBT1",7.51,5.63,8.85,98.73,1.14,0.04,2335.28,7.54,277.2,44.73,0.745,9.165,2.56,0.04,2.56,7.54,44.73,2335.28
"207","CHRNA9",0,0,0,0,0,0,0,0,1.2,0,2.01,0,0,0,0,0,0,2.01
"208","ITIH1",2.89,2.71,8.58,3.17,1.63,69271.73,4.66,1.65,2.03,2.81,2.32,4.15,4.82,1.63,2.32,2.89,4.66,69271.73
"209","MAGEA3",0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23
"210","C10orf67",0,0,0,0.77,19.54,0,55.89,0,0,0.76,3.875,0,0.87,0,0,0,0.87,55.89
"211","BHMT",73.54,3.14,2.03,5.82,3987.685,18052.61,2.41,3.705,1.62,22.51,6.545,3.775,75.64,1.62,3.14,5.82,73.54,18052.61
"212","AQP9",9.78,12.09,17.38,6.52,10.315,6840.04,423.61,15.115,6.78,11.955,6.7,13.47,7.28,6.52,7.28,11.955,15.115,6840.04
"213","ALDH8A1",9.41,15.56,9.78,17.9,1011.58,4419.52,10.88,9.445,5.19,9.165,9.815,12.27,68.555,5.19,9.445,10.88,17.9,4419.52
"214","VGLL2",0,0,0,0,0,0,0.32,0,8.06,0,0,0,1.08,0,0,0,0,8.06
"215","ALB",3.66,244.57,21.94,8.51,931.53,2965819.8,10,17.135,2.58,28.755,27.25,21.24,47.84,2.58,10,21.94,47.84,2965819.8
"216","NKX2-3",0,0,0,555.41,0,0.39,0,0,33.06,46.34,8.285,0,11.73,0,0,0,11.73,555.41
"217","UPB1",4.21,3.35,4.28,4.06,209.11,5006.93,15.91,3.705,3.44,4.78,4.15,4.52,9.56,3.35,4.06,4.28,9.56,5006.93
"218","SLC22A7",0.39,0,0.39,0.39,271.125,10225.32,0,2.78,0,0.88,0.38,0.48,1.025,0,0.38,0.39,1.025,10225.32
"219","KNG1",0,0,1.04,6.52,15884.52,56657.31,0.79,0.335,0.16,0.4,0.36,0.33,0.95,0,0.33,0.4,1.04,56657.31
"220","NR0B2",0.65,0,2.53,6.01,371.29,3190.46,115.97,2.01,0,389.72,1.7,0,0,0,0,2.01,115.97,3190.46
"221","FTCD",9.06,5.96,13.83,10.79,761.935,19754.96,3.53,36.925,2.53,9.025,18.97,21.475,32.59,2.53,9.025,13.83,32.59,19754.96
"222","FETUB",0,1.68,0.44,0,4.035,5292.48,0,0,24.81,0,0,0,60.39,0,0,0,4.035,5292.48
"223","ALPP",0.27,0,76.17,0,0,0,81.14,0.2,0,0,0,0,0,0,0,0,0.2,81.14
"224","HRG",0.15,0,0.35,0,686.6,64186.29,0.02,0.13,0.52,0.26,0.21,0.135,1.35,0,0.13,0.21,0.52,64186.29
"225","SPDYE4",0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.22
"226","SPRR2G",0,1.03,0,0,0,0,2.27,0,162.14,0,0.77,0,28.24,0,0,0,1.03,162.14
"227","C1orf143",0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,2.17
"228","AMY1A",0.21,1.22,0,0,0,0,7.22,0,27.25,0,2.89,0,0,0,0,0,1.22,27.25
"229","ROPN1",0.69,214.27,0,5.36,0.725,0,0,0.505,6.01,0,0,0.79,0,0,0,0.505,0.79,214.27
"230","AQP12A",0,0,0,20.26,0,0,0,0,0,0,1.23,0,0,0,0,0,0,20.26
"231","CLCA1",0.32,0.17,0.47,1819.35,0,0,0.12,0.17,0.17,15.39,0.08,0.435,0.62,0,0.12,0.17,0.47,1819.35
"232","RP11-944C7.1",0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,6.52
"233","FGF21",0,0,0,0,0,723.08,0,0,0,0,0,0,0,0,0,0,0,723.08
"234","APOC4-APOC2",0,0.39,7.11,0.11,0,65082.31,3.2,2.385,0,0,0.735,0,0,0,0,0.11,2.385,65082.31
"235","HFE2",0.59,0.56,0,0.77,2.235,5791.62,0.69,1.405,17.25,0.63,0.84,1.92,1.88,0,0.63,0.84,1.92,5791.62
"236","PGA3",6.57,34.02,17.38,31.22,19.86,36.27,5.5,13.93,6.89,139066.375,98.73,11.085,775.05,5.5,11.085,19.86,36.27,139066.375
"237","GKN2",1.01,0,1,1.38,0,0,2682.69,0.56,0,8875.05,0,0,9.165,0,0,0.56,1.38,8875.05
"238","SOHLH1",0,0,0,0.46,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5
"239","GLRA3",0,11.47,0,0.35,0,0,0.18,0,0.13,0.44,0,0.825,0.4,0,0,0.13,0.4,11.47
"240","SBSN",21.63,3.69,0.39,3.53,0.505,2.25,3.69,1.92,2701.35,11.395,6.46,1.985,14971.21,0.39,1.985,3.69,11.395,14971.21
"241","MTNR1A",0,0,0,4.39,15.345,0,0,0,1.93,0,0,0,0,0,0,0,0,15.345
"242","FAM25G",0,0,0,0,0,0,0,0,0,0,0,0,229.72,0,0,0,0,229.72
"243","KPRP",1.81,0.12,0,0.41,0.14,0.18,0.26,0.165,20.11,2.34,0.39,0.045,72.01,0,0.14,0.26,1.81,72.01
"244","RBL1",0,0,1.07,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,1.83
"245","CXorf61",0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,1.13
"246","XAGE1B",0,0,0.28,0,0,0,20.71,0,0,0,0,0,0,0,0,0,0,20.71
"247","LYPD8",0,0,0,1081.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1081.39
"248","SERPINA10",0.11,0.46,2.94,1.95,1.505,7642.41,1.62,0.27,0.22,2.825,0.27,0.46,1.16,0.11,0.27,1.16,1.95,7642.41
"249","SLC5A12",4.39,0.46,2.05,4.98,763.52,4.21,0.51,0.48,0.39,3.07,0.42,0.295,1.21,0.295,0.46,1.21,4.21,763.52
"250","HAO1",0,0,0,0,3.455,10368.08,0,0.88,0,0,0,0,0,0,0,0,0,10368.08
"251","CARD17",0,0,0,0,0,0,2.27,0,0,0,0,0,23.93,0,0,0,0,23.93
"252","BPIFA1",0,0,0,0,0,0,36.01,0,21.78,0,0,0,0,0,0,0,0,36.01
"253","FOXG1",0.59,0,0.2,0,0.215,0,0.17,0,0.75,0.47,2.01,0.25,38.81,0,0,0.215,0.59,38.81
"254","APOA2",3.47,1.14,3.79,3.47,10.315,614902.29,2.71,1.84,0.49,6.54,1.84,2.95,9.93,0.49,1.84,3.47,6.54,614902.29
"255","F12",24.63,31.22,34.51,95.34,32.495,16727.26,16.27,28.345,211.31,44.25,12.18,13.265,376.41,12.18,24.63,32.495,95.34,16727.26
"256","RTP3",0.84,0.34,0.59,0,1.92,1225.22,0,0,0.78,0.5,4.82,0.625,0,0,0,0.59,0.84,1225.22
"257","IGF2BP1",0,0,0,0.56,19.465,0,0,0,0,0,0.44,0,0,0,0,0,0,19.465
"258","PRSS56",0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0.175
"259","CPB2",0.43,0.85,1.27,0.39,0.565,15180.22,470.14,1.19,0.21,0.42,2.06,1.21,0.69,0.21,0.43,0.85,1.27,15180.22
"260","FXYD2",29.27,39.5,5.87,30.12,63093.06,796.86,60.39,25.355,83.45,25.82,31.11,72.01,49.385,5.87,29.27,39.5,72.01,63093.06
"261","PSG5",0,3.66,0,0,12.055,0,0,0,1.41,0,0,0,0,0,0,0,0,12.055
"262","TAS2R1",0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0.45
"263","AL591684.1",0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,4.7
"264","SERPINA7",0,0,0,0,3.095,5006.93,0,0,0,0,0,0,0,0,0,0,0,5006.93
"265","RPL10L",0,0,2.16,12.45,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45
"266","AC003102.1",0,0.74,0,0,588.69,2.56,2.68,0,0,0,0.84,0,0,0,0,0,0.84,588.69
"267","GUCA2A",1.55,0,0,2915.45,0,3.99,20.71,0.4,0,13.525,0,0,0,0,0,0,3.99,2915.45
"268","SERPINA1",199.85,1233.75,1769.57,1268.46,6903.45,696613.03,23330.64,468.51,334.46,1437.29,869.085,545.875,248,199.85,468.51,1233.75,1769.57,696613.03
"269","ACSM2A",1.14,2.53,0.75,1.04,2612.375,10733.74,1.14,0.53,0.4,1.24,4.15,1.45,2.875,0.4,1.04,1.24,2.875,10733.74
"270","AGER",94.01,65.72,142.01,97.36,35.455,53.57,46019.85,80.3,37.85,87.645,1290.655,180.65,247.14,35.455,65.72,94.01,180.65,46019.85
"271","SLC2A2",0,0,1.33,0,146.65,11664.82,0,0,0,0,0,0,0,0,0,0,0,11664.82
"272","XAGE1E",0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,7.94
"273","DSG3",2.89,173.85,1.48,0.92,0.1,0.54,0.88,8.415,1628.26,10.005,0.41,0,5954.47,0,0.54,1.48,10.005,5954.47
"274","LST3",0,0,0,0,0,15.34,0,0,0,0,0,0,0,0,0,0,0,15.34
"275","PDCL2",0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,6.41
"276","LCE3D",0,0,0,0,0,0,0,0,152.28,0,0,0,124.37,0,0,0,0,152.28
"277","METTL7B",10.63,18.43,18.97,116.78,516.425,3614.55,60.82,11.04,10.71,74.58,55.49,12.735,9.095,9.095,11.04,18.97,74.58,3614.55
"278","C1orf200",0,0.79,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,2.03
"279","CYP2D6",12.45,18.29,23.76,45.53,12.89,8718.32,18.16,15.68,8.51,46.51,49.91,18.635,69.52,8.51,15.68,18.635,46.51,8718.32
"280","GC",0,0.1,1.3,0.78,46.67,82378.63,0.26,1.165,0.09,121.365,0.19,0.49,8.545,0,0.19,0.78,8.545,82378.63
"281","TCF23",1.68,1.81,55.1,0,0,0,0,0,0,1.11,0,503.96,0,0,0,0,1.68,503.96
"282","ZBED2",9.2,1.85,14.89,2.12,9.105,0.43,231.32,4.64,87.65,5.585,1757.385,4.26,185.11,0.43,4.26,9.105,87.65,1757.385
"283","SLC22A10",0,0.8,0.84,0,0.81,1286.18,3.29,2.375,0.52,0.37,0.36,0.835,3.66,0,0.37,0.81,2.375,1286.18
"284","HIST1H2AB",0,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88
"285","NKX2-1",0,0.19,0,0.35,0.155,0.21,2163.77,0.5,0.54,0.61,4123.49,0.45,0.93,0,0.19,0.45,0.61,4123.49
"286","SPAG11B",0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0.91
"287","F2",0.75,0.23,1.75,1.91,1.955,29943.43,0.19,0.85,0.06,2.655,0.59,1.475,5.21,0.06,0.59,1.475,1.955,29943.43
"288","PON1",1.25,6.78,11.82,3.96,7.14,27938.14,15.56,12.37,1.3,2.76,2.16,4.54,2.53,1.25,2.53,4.54,11.82,27938.14
"289","MT1B",0,0,0,0,0,24.99,0,0,0,0,0,0,0,0,0,0,0,24.99
"290","IGSF23",0,0,0,0,7.58,281.09,0,0,0,0,0,0,0,0,0,0,0,281.09
"291","TM4SF5",0,0,0,94.01,297.18,4268.94,0,0,0,320.8,0,0,0,0,0,0,94.01,4268.94
"292","FAM216B",0,0,7.57,1.16,0,0,78.89,0,0,0,0,7.46,0,0,0,0,1.16,78.89
"293","ZG16",0.06,0.39,0.25,2004.85,0.51,256.78,0,0.16,0.09,8.92,0.57,0,0.57,0,0.09,0.39,0.57,2004.85
"294","MUC7",0.07,4.74,0,0,0,0,0,0,656.11,0,0,0.25,1.3,0,0,0,0.25,656.11
"295","HP",23.25,95.34,802.41,20.71,17.32,1545882.32,1572.76,19.535,89.51,21.865,17.64,115.935,49.04,17.32,20.71,49.04,115.935,1545882.32
"296","TSHR",3.17,11.91,2.84,4.46,2.545,3.86,2.48,3.545,2.89,6.41,7130.55,6.725,3.41,2.48,2.89,3.545,6.41,7130.55
"297","KLKB1",7.11,8.51,19.68,17,25.505,3982.99,11.47,8.125,3.35,7.515,31.67,13.42,41.96,3.35,8.125,13.42,25.505,3982.99
"298","CSF2",0,0,0,0,0,0,51.35,0,0,0,0,0,0,0,0,0,0,51.35
"299","ADH7",5.92,1.3,3.17,0.15,0,3.72,4.66,0.62,223.41,99.08,0,0.115,6250.56,0,0.15,3.17,5.92,6250.56
"300","UGT3A1",0,0,0,0,808,551.56,0,2.25,0,0,0,0,0,0,0,0,0,808
"301","SSX1",0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,5.52
"302","C8orf74",0,0,1.36,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,1.36
"303","CCL18",88.88,157.68,0,121.79,3.805,46.18,6652.97,11.255,199.85,67.835,68.8,10.32,149.13,0,11.255,68.8,149.13,6652.97
"304","AC138517.1",0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,3.47
"305","FABP12",0,0,0,0,0,0,0,0,0,0,0,0,41.52,0,0,0,0,41.52
"306","GSTA2",2.29,1.73,3.29,2.63,1053.41,7280.4,23.76,7.6,7.75,93.095,0,0,2.68,0,2.29,3.29,23.76,7280.4
"307","LHX5",0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,7.94
"308","UGT2B4",0.39,6.16,0,0,0.715,11189.6,21.78,2.605,0,0,0,0,0,0,0,0,2.605,11189.6
"309","NBPF4",0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11
"310","SERPINA6",0.56,9.48,476.71,11.82,802.59,11992.79,2.25,0.49,0,1.92,0,8.42,0.96,0,0.56,2.25,11.82,11992.79
