"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"311","TFF2",3.03,3.44,16.51,24.11,0,24.81,0,1.9,2.53,21619.895,62.56,1.87,21.63,0,1.9,3.44,24.11,21619.895
"312","C1orf94",0,0,0,0.73,0,0,0,0,0,0,0,0,0.725,0,0,0,0,0.73
"313","AL590560.1",0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,8.13
"314","PGLYRP2",4.31,17.77,0.85,0,0.42,6207.38,0.47,4.045,1.27,1.455,0.71,0.87,0.64,0,0.64,0.87,4.045,6207.38
"315","NKX6-1",0.04,4.31,3.41,0.16,0.55,0,0.91,0.445,0.74,3.055,67.835,1.9,1111.82,0,0.445,0.91,3.41,1111.82
"316","NAPSA",10.08,21.16,21.78,24.63,1222.625,15,84109.6,23.175,8,19.97,38.535,29.375,23.25,8,19.97,23.175,29.375,84109.6
"317","FGF19",0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87
"318","SPIC",0,0,0,0,0,11.64,0,0,0,0,0,0,1.81,0,0,0,0,11.64
"319","AQP2",0.85,1.51,0,0,33695.52,0,1.11,11.865,1.83,0.815,0.9,0.345,0.56,0,0.345,0.85,1.51,33695.52
"320","CYP2C9",0.89,1.01,0.62,4.82,16.09,33688.23,3.86,0.2,7.51,193.01,0.25,0.21,181.28,0.2,0.62,3.86,16.09,33688.23
"321","MAB21L2",4.39,0.6,0.77,1605.83,0.645,19.53,1.19,3.245,3.26,10.59,59.34,0.455,12.83,0.455,0.77,3.26,12.83,1605.83
"322","TUSC5",6.36,1519.15,4.13,5.63,0.945,0.27,0.64,0.515,8.32,5.61,4.085,2.01,4.05,0.27,0.945,4.085,5.63,1519.15
"323","DEFA4",0,0,0,0,0.62,3.86,11.21,0,0,0,0.95,0,0,0,0,0,0.62,11.21
"324","SLC22A11",0.75,7,7.63,1.77,797.805,10.88,0.6,1.57,0.23,0,1.95,5.06,0.185,0,0.6,1.77,7,797.805
"325","SLURP1",5.06,5.06,1.43,1.6,0.5,0.83,1.31,5.61,902.89,12.98,1.22,0.84,11584.24,0.5,1.22,1.6,5.61,11584.24
"326","DMRT1",0,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,4.62
"327","ATP6C",0,0,2.34,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,3.47
"328","MT4",0,0,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,17.9
"329","HMX3",0,0,0,5.45,1.26,0,0,0,0,0,0,0,0,0,0,0,0,5.45
"330","REG3A",0.72,0.21,0.55,12.74,0.425,1.69,0.32,0.85,0.21,1217.48,0.8,0.67,10.92,0.21,0.425,0.72,1.69,1217.48
"331","ITIH3",20.86,28.24,82.87,19.68,34.775,36610.26,92.7,16.63,7.17,17.64,29.805,49.575,49.39,7.17,19.68,29.805,49.575,36610.26
"332","S100A7A",0,0,0,0,0,0,0,0,0,0,0,0,2.84,0,0,0,0,2.84
"333","KB-1980E6.3",0,2.1,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,2.1
"334","LHX9",0,0,0,0,0,5.15,13.12,0,0,0,0,1.715,0,0,0,0,0,13.12
"335","UGT1A7",21.32,1.58,0.65,1.33,3.16,3.69,0,0.295,63.89,5.28,0,0,1250.98,0,0.295,1.58,5.28,1250.98
"336","FABP9",0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44
"337","FXYD4",25.17,0,0,0,8080.505,0,58.71,8.155,5.82,53.76,0,0,0,0,0,0,25.17,8080.505
"338","IGFL1",13.93,6.06,0,0,1.445,0,0,0,116.78,0,0,0,1066.48,0,0,0,6.06,1066.48
"339","ASGR1",22.26,26.67,75.11,24.81,16.27,19482.97,101.54,23.505,20.71,28.755,193.695,43.02,33.78,16.27,23.505,28.755,75.11,19482.97
"340","CSN1S1",0,34.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.75
"341","FAM26D",0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,4.35
"342","S100A7",31.22,20.11,23.76,2.29,1.95,2.14,7.57,4.26,3847.29,9.41,1.275,2.96,1769.57,1.275,2.29,7.57,23.76,3847.29
"343","PLG",0.49,0.89,10.16,1.69,1153.435,97965.44,4.03,2.825,1.1,1.585,1.2,5.11,1.77,0.49,1.2,1.77,5.11,97965.44
"344","RFPL4A",0,0,0,1.13,1.4,15.11,0,0,0,1.005,0,0,0,0,0,0,1.005,15.11
"345","CYP2B6",0,0,0,18.56,115.52,6652.97,1.5,0,0,0,0,0,0,0,0,0,1.5,6652.97
"346","KRT4",103.69,9.93,18.03,5.82,1,5.06,497,110.82,8363.13,50.28,5.19,2.425,211455.3,1,5.19,18.03,110.82,211455.3
"347","CA9",16.27,3.35,16.63,18.16,7.25,42.11,4.5,6.465,7.94,2193.99,2.71,16.21,75.375,2.71,6.465,16.21,18.16,2193.99
"348","SPRR2E",5.19,3.38,1.85,2.07,0.46,1.64,3.44,1.19,2485.67,11.775,1.355,1.035,13586.57,0.46,1.355,2.07,5.19,13586.57
"349","CNTNAP5",0.35,0,0,0.61,3.53,0,0,0,0,0,0,0,0,0,0,0,0,3.53
"350","DMRT3",0,28.04,0,0.29,0,0,0.26,0,11.91,0,151.795,2.97,4.74,0,0,0.26,4.74,151.795
"351","LHX1",0,0,0,0,165.695,0,0,0,0,0,0,0,0,0,0,0,0,165.695
"352","KRT78",4.9,0.84,6.84,1.39,0.46,0.73,1.81,1.14,872.1,10.51,5.475,0.46,10084.54,0.46,0.84,1.81,6.84,10084.54
"353","HPX",13.12,98.73,33.54,28.04,5.475,132900.7,18.29,30.23,5.36,11.64,19.97,30.125,42.41,5.36,13.12,28.04,33.54,132900.7
"354","ANGPTL3",1.16,2.01,2.29,1.27,362.405,8479.89,0.55,1.9,0.6,12.315,1.555,1.495,4.84,0.55,1.27,1.9,4.84,8479.89
"355","KRT20",152.28,0.06,1.95,2591.27,0.12,0.02,0,0.46,1.64,597.445,0,0.265,6.01,0,0.06,0.46,6.01,2591.27
"356","SPATS1",0,0,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,7.17
"357","CTC-454I21.3",0,0,0,0,3.06,0,0,0,0,0,0,0,3.745,0,0,0,0,3.745
"358","MARCO",123.5,209.84,7.69,76.71,16.51,1457.23,7803.01,19.82,88.88,24.375,26.67,18.635,123.935,7.69,19.82,76.71,123.935,7803.01
"359","TGM3",1.69,3.08,10.31,9.34,1.075,3.79,7.69,12.98,1295.13,26.765,1.65,3.82,25179.16,1.075,3.08,7.69,12.98,25179.16
"360","TG",32.13,8.58,3.08,20.56,63.67,18.03,18.84,126.58,23.42,16.33,802981.305,23.845,52.82,3.08,18.03,23.42,52.82,802981.305
"361","IFNL1",0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11
"362","PAQR9",0,0,0,0,0.39,279.14,0,0,0,0,0,0,0,0,0,0,0,279.14
"363","LBP",0.53,45.21,3.79,1.57,25.265,18819.27,2.51,0.995,10.55,1.095,7.69,2.405,2.28,0.53,1.57,2.51,10.55,18819.27
"364","CCL16",4.62,9.78,8.19,3.76,2.245,2855.44,4.1,3.755,1.1,2.25,5.73,11.085,8.85,1.1,3.755,4.62,8.85,2855.44
"365","C1orf158",0,0,8.25,0,0,0,26.67,0,0,0,3.125,0,0,0,0,0,0,26.67
"366","ACSM2B",1.66,5.41,3.26,1.85,2546.705,15075.35,1.99,0.77,0.38,1.93,7.31,3.455,4.19,0.38,1.85,3.26,5.41,15075.35
"367","AF165138.7",0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0.47
"368","C8orf12",0,0,0,0,0,0,4.78,0,0,5.32,26.005,0,0,0,0,0,0,26.005
"369","TMEM8C",0,0,0,0,9.345,0,1.17,0,0,0,0,0,0,0,0,0,0,9.345
"370","PTH",0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,1.59
"371","IQCF3",0,0,0,0,0.695,0,0,0,0,0.155,0,0,0,0,0,0,0,0.695
"372","TM4SF4",6.16,4.9,8.06,30.78,17.44,7695.57,15.56,1.23,1.23,261.3,7.515,8.655,31.675,1.23,6.16,8.655,30.78,7695.57
"373","KLK13",10.16,26.28,67.59,14.24,1.735,1.23,21.63,25.91,1617,52.65,8.65,15.335,17558.94,1.23,10.16,21.63,52.65,17558.94
"374","C19orf59",6.21,3.23,1.66,4.46,2.66,6.52,2367.9,3.455,3.2,5.06,4.205,2.305,5.585,1.66,3.2,4.205,5.585,2367.9
"375","GCGR",0.72,0.39,14.14,8.19,301.535,2875.3,0.82,0.975,2.78,2.695,1.73,0.71,4.35,0.39,0.82,2.695,8.19,2875.3
"376","TMPRSS6",1.38,8.19,2.84,7.51,1.96,2468.49,17.64,3.365,1.31,14.945,2.385,4.19,4.31,1.31,2.385,4.19,8.19,2468.49
"377","TDO2",10.71,4.94,7.63,25.72,16.27,14765.09,39.79,11.09,12.09,14.45,2.215,8.19,17.13,2.215,8.19,12.09,17.13,14765.09
"378","SLC17A3",0.64,0.71,0,0.67,607.93,366.09,2.66,1.04,0,0,0.515,1.19,0,0,0,0.67,1.19,607.93
"379","KRT6A",46.84,65.72,29.06,5.11,1.48,4.9,23.76,33.42,34158.52,39.785,5.32,3.055,121448.75,1.48,5.11,29.06,46.84,121448.75
"380","CTAG1B",0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
"381","CALB1",5.28,2.92,13.03,5.68,1668.76,1.85,3.92,1.94,1.73,5.145,2.86,1.8,9.2,1.73,1.94,3.92,5.68,1668.76
"382","TMEM114",0,0,0,1.93,0,0,0,0,0,0,0,0,2.84,0,0,0,0,2.84
"383","TBATA",0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.77
"384","LY6D",1015.93,90.77,13.52,4.35,1.5,2.61,8.06,59.6,5517.27,28.14,2.595,3.725,33224.42,1.5,3.725,13.52,90.77,33224.42
"385","NPHS2",3.32,0,0,0.84,1217.48,0,0,0,0,0.99,0,0,0,0,0,0,0.84,1217.48
"386","IGFALS",2.61,6.06,20.41,12.64,18.63,3081.75,51.35,6.78,3,84.925,21.395,7.11,22.18,2.61,6.78,18.63,22.18,3081.75
"387","COX8C",0,0,0,0,0,0,0,0,0,0,0,2.92,2.42,0,0,0,0,2.92
"388","ONECUT1",0,0,0.67,0,0,115.97,0,0,0,0,0,0,0,0,0,0,0,115.97
"389","PROZ",1.6,1.17,1.53,2.53,67.95,1794.29,1.2,2.27,0.74,3.085,2.46,1.86,3.63,0.74,1.53,2.27,3.085,1794.29
"390","C5orf27",1.16,19.97,3.14,2.78,25.13,1447.15,3.69,3.03,13.03,4.045,3.29,1.66,9.095,1.16,3.03,3.69,13.03,1447.15
"391","RP11-595B24.2",0,0,0,0,0,40.64,0,0,0,28.04,0,0,0,0,0,0,0,40.64
"392","DPPA4",0.39,0,0.53,0,0,8.71,1.55,0,0,0,0.85,0,0,0,0,0,0.53,8.71
"393","AVP",0.74,0.57,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,4.58
"394","LCE2D",0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,2.68
"395","TMX2-CTNND1",0,0,0,0,0,0,0,0,0,0,0,2.825,4.82,0,0,0,0,4.82
"396","HAO2",1.14,4.28,0,0.73,1595.34,8901.53,0.4,1.3,1.69,0.635,1.08,1.43,0.51,0,0.635,1.14,1.69,8901.53
"397","SPRR2A",7.82,4.74,8.38,3.44,7.545,3.29,13.93,1.95,6561.36,27.455,1.62,0.945,63742.91,0.945,3.29,7.545,13.93,63742.91
"398","IBSP",0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0.78
"399","FCAMR",0,0,0,8.65,237.88,73.03,0,0,1.57,0,0,0,1.46,0,0,0,1.57,237.88
"400","SFTPA1",3.41,2.51,0.08,4.7,0.915,0.88,542775.98,10.01,5.63,2.27,3.395,0.68,4.68,0.08,0.915,3.395,4.7,542775.98
"401","AL353583.1",0,2.51,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,2.51
"402","FAM25C",6.84,0,0,0,0,0,0,0,55.1,0,0,0,141.02,0,0,0,0,141.02
"403","SAA1",120.1,31215.04,612.11,110.43,112.995,149521.18,376.41,196.46,4358.66,179.395,21.32,20.19,325.29,20.19,112.995,196.46,612.11,149521.18
"404","KRTAP1-1",0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,2.12
"405","CLEC6A",0,0,0,0,0,0,10.88,0,0,0,0,0,0,0,0,0,0,10.88
"406","NKX6-2",0,0,0,0,1.535,0,0,0,0,96.68,0,0,14.45,0,0,0,0,96.68
"407","CHRNA6",0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,1.46
"408","MUC5AC",0.96,0.07,2.48,1.93,0.03,0.17,3.5,1.54,5.5,5059.305,0,0.28,6.62,0,0.17,1.54,3.5,5059.305
"409","CHST13",3.82,5.15,4.58,12.45,46.84,718.08,11.91,1.95,2.01,7.69,1.5,3.365,3.44,1.5,3.365,4.58,11.91,718.08
"410","ADIG",0,0,0,0,2.905,0,0,0,0,0,52.82,0,0,0,0,0,0,52.82
"411","C1orf189",0,0,0,0,0,0,35.76,0,0,0,0,0,0,0,0,0,0,35.76
"412","SPP2",0,0,0,0,0,10014.87,0,0,0,0,0,0,0,0,0,0,0,10014.87
"413","APOF",0,3,0,0,1.005,7966.99,0,16.69,0.58,0,0,0,0,0,0,0,1.005,7966.99
"414","LCE1B",0.16,0,0,0,0,0,0,0,2.68,0,0,0,0.96,0,0,0,0,2.68
"415","FMR1NB",0,0,2.01,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,2.01
"416","C8B",0,0.93,1.64,0,0.695,13968.57,108.9,0,0.8,0.32,0,0,0,0,0,0.32,0.93,13968.57
"417","ATP4B",0.49,0.21,3,0.74,11.125,0.25,0.58,0.81,0.16,2090.085,3.975,1.76,9.7,0.16,0.49,0.81,3.975,2090.085
"418","SLC10A1",0.91,0.67,0.6,1.69,0.31,9279.58,1.08,0.645,0.93,1.585,0.77,0.84,1.64,0.31,0.67,0.91,1.585,9279.58
"419","BARX1",0.87,5.36,0,4.82,0,2.56,1.01,1.15,30.12,500.46,10.08,1.625,2627.52,0,1.01,2.56,10.08,2627.52
"420","NCBP2L",0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0.97
"421","SFTPB",1.23,4.28,0,4.43,13.12,1.66,469249.9,2.85,2.23,4.545,527.25,1.63,9.89,0,1.66,4.28,9.89,469249.9
"422","SERPINA4",0.73,1.14,8.25,0,147.575,8078.22,0,6.7,0.21,145.02,0,8.035,0,0,0,1.14,8.25,8078.22
"423","SLC34A1",0.99,0,0,0,528.24,24.46,0.21,1.195,0,0,0,0,5.63,0,0,0,1.195,528.24
"424","SAGE1",0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.08
"425","UMOD",0,2.01,0,0,103752.855,0,0,2.71,0,2.635,0,0,0,0,0,0,2.01,103752.855
"426","RP11-73M18.2",0,107.38,0,0,0,0,0,0,0,0,0,0,5.345,0,0,0,0,107.38
"427","PPY",0,0,0,0,0,0,0,0,0,0,18.36,0,0,0,0,0,0,18.36
"428","INHBC",0.29,0.87,0.89,0,2.41,1572.76,0.69,4.135,0.48,0,6.16,0.8,0,0,0.29,0.8,2.41,1572.76
"429","KRTAP3-2",0,0,0,0,0,0,0,0,7.22,0,0,0,12.27,0,0,0,0,12.27
"430","FAM25A",0,0,0,0,0,0,0,0,693.58,0,0,0,3303,0,0,0,0,3303
"431","GUCA2B",0,0,0,733.19,3.845,105.15,0,0,0,70.505,0,0,0,0,0,0,3.845,733.19
"432","PVALB",47.5,19.82,0,7,2523.355,105.89,47.5,6.94,11.04,10.08,26.095,12.69,5.725,0,7,12.69,47.5,2523.355
"433","CLEC4M",2.36,3.38,13.12,4.74,3.085,791.35,34.75,2.01,0,1.31,3.335,26.02,1.57,0,2.01,3.335,13.12,791.35
"434","S100A9",3564.78,1540.37,571.05,1015.93,710.745,1340.84,14361.31,827.915,226632.25,3103.19,536.465,228.325,496005.67,228.325,710.745,1340.84,3564.78,496005.67
"435","CA5A",0,0,0,0,0,884.29,0,0,0,0,0,0,0,0,0,0,0,884.29
"436","DPPA5",0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,1.81
"437","SFTA3",0,0,0,0,0.075,0,6079.61,0,0,0.42,5112.16,0,0.665,0,0,0,0.42,6079.61
"438","DYDC1",0,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,7.34
"439","GNGT1",4.03,0,0,0,4.505,0,0,0,0,0,0,0,0,0,0,0,0,4.505
"440","LEP",4.74,1721.16,1.22,3.47,0.98,0.21,0.53,0.455,2.03,3.045,0.78,0.395,2.01,0.21,0.53,1.22,3.045,1721.16
"441","DSCR8",0,0,0,0,6.495,0,0,0,0,0,0,0,0,0,0,0,0,6.495
"442","SULT2A1",23.59,0.01,0.6,1.35,0.145,19482.97,0.1,1.57,0.14,47.17,0,0.16,2.23,0,0.14,0.6,2.23,19482.97
"443","AKR1D1",0,1.79,0,0,0,4671.57,0,0,0.48,0,0,0,0,0,0,0,0,4671.57
"444","SHD",0,0,0.52,78.34,0.97,476.71,1.01,0.7,0,0,0,0,0.28,0,0,0.28,0.97,476.71
"445","XAGE1C",0,0,0.35,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,6.57
"446","FAM151A",2.27,2.16,0,14.35,656.255,189.02,0,0.955,2.16,5.05,3.875,0.92,4.35,0,0.955,2.27,5.05,656.255
"447","UGT1A9",0,0,0,0,893.59,463.65,0,0,0,0,0,0,0,0,0,0,0,893.59
"448","KRTAP5-6",0,0,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,7.57
"449","HIST1H1A",0,0,2.34,0,0,0,0,0,0,0,1.505,0,0,0,0,0,0,2.34
"450","FOXE1",1.5,1.35,0.47,0.19,1.99,0.22,0.57,7.085,66.18,1.44,3028.8,0,176.29,0,0.47,1.44,7.085,3028.8
"451","KRTAP2-3",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
"452","TTR",14.45,1,2.32,33.78,47.72,164758.26,2.92,18.035,1.93,136.67,2.78,4.37,25.085,1,2.78,14.45,33.78,164758.26
"453","FOXL2",1.16,0.51,791.35,0.23,0.095,0,0,1.715,0,0,0.37,241.245,1.51,0,0,0.37,1.51,791.35
"454","XAGE1D",0,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,15.68
"455","CYP2A7",2.18,4.39,4.82,0.73,0.03,1561.89,2.39,2.39,0.57,0,0,4.545,0.36,0,0.36,2.18,4.39,1561.89
"456","APOH",0.95,0.58,6.46,16.15,58.095,194578.47,171.45,2.985,0.49,14.945,0.675,2.79,6.645,0.49,0.95,6.46,16.15,194578.47
"457","PCK1",3.92,470.14,4.28,890.44,6337.98,40062.48,2.39,3.26,13.62,56.88,8.99,12.155,15.8,2.39,4.28,13.62,470.14,40062.48
"458","LIPC",23.42,16.15,24.28,20.41,391.1,3665.02,13.52,8.58,6.41,14.4,27.84,10.12,9.415,6.41,10.12,16.15,24.28,3665.02
"459","BAAT",0.38,0.43,0.42,0.41,2.025,9673.69,6.73,0.52,0.79,0.805,0.61,0.465,0.725,0.38,0.43,0.61,0.805,9673.69
"460","RP11-322E11.6",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
"461","DEFA6",0,0,0,23.76,0,0,0,0,0.43,0,0,0,0,0,0,0,0,23.76
"462","CLPSL2",0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88
"463","F8A2",0,0,178.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.77
"464","MRAP",2.16,532.74,3.96,4.66,0,17.64,5.5,0,3.79,4.275,0.69,0,2.04,0,0.69,3.79,4.66,532.74
"465","LRRC19",0.27,0.67,0.36,120.1,518.26,10.88,3.59,0.85,0.07,4.19,1.12,1.21,1.05,0.07,0.67,1.12,4.19,518.26
"466","UBE2U",0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,2.77
"467","MSX1",167.9,115.97,24660.96,17.13,31.805,8.92,60.39,50.98,27.44,35.125,91.09,649.98,73.03,8.92,31.805,60.39,115.97,24660.96
"468","GSTA3",0,0,54.72,0,0,0,27.84,0,0,6.81,0,0,0,0,0,0,0,54.72
"469","A2ML1",30.12,9.63,4.74,1.64,0.63,0.95,1.64,14.89,780.44,13.93,1.91,2.955,10512.82,0.63,1.64,4.74,14.89,10512.82
"470","KRT25",0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07
"471","SLCO6A1",0,0,2.25,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,2.25
"472","SFTPC",0,3,1.69,10.71,2.355,2.46,1589343.01,9.235,7.4,7.225,135.245,2.72,21.705,0,2.46,7.225,10.71,1589343.01
"473","CARD18",0,0,0,0,0,0,0,0,0,0,0,0,43.94,0,0,0,0,43.94
"474","SPRR2B",0,0,0,0,0,0,0,0,132.44,0,0,0,486.75,0,0,0,0,486.75
"475","BTNL3",0.37,0.46,0,113.56,0.215,0.56,2.01,0.225,0.26,7.515,0.98,0.47,1.065,0,0.26,0.47,1.065,113.56
"476","AL021546.6",5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28
"477","PLIN1",41.52,9945.68,22.26,54.33,11.1,351.14,6.41,15.39,60.39,41.81,34.14,11.775,65.95,6.41,15.39,41.52,60.39,9945.68
